姓名,类别,X或主要渠道,"X user id",职业经历,擅长方向,备注
"Rick Rule",投资人/行业专家,"https://x.com/RealRickRule",824634606305505280,"Sprott U.S. 前掌门，资源股投融资老手","junior mining、私募、周期底部、管理层质量",常参加资源投资访谈、会议和播客
"Eric Sprott",投资人/企业家,"Sprott Money、公开访谈",,"Sprott 创始人，长期金银矿投资人和融资人",金银牛市、发现型小矿、资源股资金流,个人公开访谈多，X 活跃度不如部分媒体型人物
"Marin Katusa",投资人/研究作者,"https://x.com/KatusaResearch",3187207969,"Katusa Research 创始人，资源股投资人，参与大量资源项目和融资",资源股融资、项目尽调、宏观主题,写长文、做付费研究，也常出现在访谈中
"Gwen Preston",研究作者/行业专家,"https://x.com/ResourceMaven",277131226,"Resource Maven/The Maven Letter 作者，长期研究、写作和投资金属矿业股",探矿公司、钻探结果、并购候选,"适合跟踪 junior explorers"
"Jordan Roy-Byrne",研究作者/技术分析师,https://x.com/TheDailyGold,89366087,"The Daily Gold 作者，CMT/MFTA，专注金银和 junior miners",金银价格周期、矿股技术面、金银股相对强弱,有网站、文章、YouTube 和播客内容
"Brien Lundin",会议/通讯作者,"https://x.com/Brien_Lundin",1488676784,"Gold Newsletter/New Orleans Investment Conference 负责人",金银宏观、资源股会议网络,会议生态强，适合发现受关注公司
"David Morgan",研究作者/白银专家,"https://x.com/silverguru22",18524851,"The Morgan Report 作者，白银市场意见领袖",白银供需、白银货币属性、银矿股,白银主题访谈很多
"Peter Krauth",研究作者,"https://x.com/peter_krauth",1313513299548549120,"Silver Stock Investor 作者",白银价格周期、银矿公司筛选,偏白银投资框架
"Chris Marcus",媒体/白银评论员,"https://x.com/ArcadiaEconomic",601945756,"Arcadia Economics 主理人，白银市场访谈和调查型内容",白银市场结构、COMEX/LBMA、银矿采访,访谈内容多，观点偏贵金属多头
"Lobo Tiggre",研究作者/投资人,"https://x.com/duediligenceguy",2818081640,"Independent Speculator 创始人，Casey Research 体系出身",资源股尽调、风险控制、探矿股估值,常写文章和参加访谈
Mickey Fulp,地质专家/评论员,"https://x.com/mercenarygeo",127967449,"The Mercenary Geologist，地质背景的资源股评论员",地质基础、项目宣传识别、矿业周期,适合学习如何拆解项目宣传
"Brent Cook",地质专家/研究作者,"Exploration Insights、公开访谈",,经济地质学家，老牌矿业项目尽调人,矿床质量、钻孔解读、地质风险,偏硬核地质和项目质量
"Joe Mazumdar",地质/工程/研究作者,"https://x.com/JoeMazumdar",1020057652095799297,"Exploration Insights，具备工程、地质和资本市场背景",项目经济性、技术报告、开发风险,"与 Brent Cook 互补"
"John Kaiser",研究作者/数据库专家,"https://x.com/KaiserResearch",2652423828,"Kaiser Research Online 创始人","junior explorer 数据库、选股框架、矿种主题",覆盖面广，偏体系化筛选
"Quinton Hennigh",经济地质学家,公开访谈、公司渠道,,"经济地质学家，曾参与 Novo、Crescat 等资源项目",高品位金矿、非常规矿床、钻探逻辑,访谈很多，适合听地质逻辑
"Steve Todoruk",地质专家/投资人,"https://x.com/SteveTodoruk",,"Sprott 地质顾问和矿业投资人",钻探新闻、发现型项目、地质概率,经常点评早期发现
"Justin Tolman",地质专家/投资团队,"Sprott Insights、公开内容",,地质学家，近 30 年资源项目经验，覆盖 40 多个国家,野外地质、项目筛选、技术尽调,"Sprott 体系内偏地质实战"
"John Hathaway",基金经理/研究作者,"Sprott Insights、访谈",,"Sprott 黄金股票策略代表人物",黄金矿股组合、宏观与矿股估值,更偏黄金股票配置
"John Ciampaglia",资产管理/企业高管,"Sprott Insights、访谈",,"Sprott Asset Management CEO，负责公开市场策略和实物商品基金",实物金银铜基金、ETF 资金流、投资者教育,经常做视频、webcast 和采访
"Maria Smirnova",资产管理/投资专家,"Sprott Insights、访谈",,"Sprott CIO，贵金属和矿股投资团队核心人物",金银配置、矿股组合、贵金属周期,金银市场视频访谈较多
"Paul Wong",研究作者/策略师,"Sprott Insights",,"Sprott 贵金属报告作者之一",金银宏观、美元/实际利率、矿股环境,适合跟踪贵金属月度/专题报告
Jacob White,研究作者/策略师,"Sprott Insights",,"Sprott 铜和关键材料报告作者之一",铜、关键矿产、能源转型需求,适合铜和关键材料主题
